Outlet name; New Born Baby Katha(3306632); New Born Baby Katha(3306633); Nima-55(3306634); Nima Frock-90(3306635); Nappy-25(3306636); Nappy(Double)-40(3306637); Katha Set-350(3306638); Baby Set-150(3306639); Baby Set Size 10(3308214); Baby Set Size 12(3308215); Baby Set Size 14(3308216); Baby Nima Full(3311112); Kids Felanin Dress-0(3311113); Kids Felanin Dress-10(3311114); Kids Felanin Dress-12(3311115); Cotton Baby Set(3327488); Cotton Baby Set(3327489); Cotton Baby Set(3327491); New Baby Katha-S(3341186); New Baby Katha-B(3341187); New Baby Nima(3341188); New Nima Frock(3341189); New Baby Nappy(3341190); New Baby Nappy(D)(3341191); New Katha Set(3341192); New Baby Set Special-0(3341193); New Baby Set Special-10(3341194);Shop_total
AZIMPUR;3;7;10;3;6;1;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;1;0;41
Central Basabo-2;0;0;4;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4;3;0;3;0;2;2;23
Gopibagh;7;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;2;1;6;0;0;2;30
Green Road;0;5;20;11;2;8;1;0;0;0;1;0;0;1;0;1;0;0;8;1;1;4;0;0;3;4;2;73
Jatrabari-2;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1;0;0;0;4;12
Joydebpur;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Kazipara-2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;1;7;0;5;5;0;3;5;42
Khilgaon;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;4;1;9
Khilkhet Lake City;0;0;1;6;0;0;1;1;4;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;3;20
Malibag;0;4;2;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;11;7;6;12;1;8;0;55
Mansoorabad;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;3;0;0;0;0;2;0;13
Mirpur -12;0;0;14;8;0;0;3;0;0;0;0;0;0;1;0;12;2;0;0;0;1;0;0;0;0;0;0;41
Mirpur Six;0;2;1;3;6;1;0;0;0;1;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;19
Mohanagar;0;3;12;5;4;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;6;3;0;0;0;0;1;39
Monipuri Para Outlet;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;3;12
Nazim Uddin Road;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
Nikunja-2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
North Bonosri;1;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;3;5;3;0;0;20
Postogola ;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;1;1;5;0;3;1;16
Rampura;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0;0;3;0;0;0;0;0;0;12
Sontek Kajla;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;9
Sutrapur;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
SYL Pathantola;7;1;4;10;0;2;5;0;0;1;1;2;1;3;1;7;5;0;0;0;0;0;0;0;0;0;0;50
SYL Shahjalal;3;4;4;1;3;10;0;0;0;0;0;3;2;1;0;2;2;1;0;0;0;0;0;0;0;0;0;36
SYL Shibgong;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3
SYL Zinda Bazar;0;0;0;3;6;1;0;2;0;0;0;4;1;2;2;2;6;0;0;0;0;0;0;0;0;0;0;29
Uttara -3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Uttara-11;0;1;5;2;4;1;1;1;1;0;0;0;0;0;0;4;2;0;5;0;1;1;2;2;0;1;0;34
Uttara-6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;2;0;9
Wari;1;1;7;12;4;11;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;41
West Kafrul;5;3;2;3;2;4;0;2;4;1;0;1;0;0;0;5;2;0;0;0;1;1;3;0;0;1;2;42
Total;33;34;109;71;44;40;15;7;10;4;5;20;6;10;4;63;33;1;18;2;60;26;22;39;7;33;26;742
